Segment,Plant,Product,Quantity,Risk Level,Segement,Code,UOM,Status,Classification,Level 1,Level 2,Level 3,Scrapping Status,Scrapping Month,Value in EGP,Date
,EGB4,Unknown,150.0,High,WIP,,Tons,Booked,Quality Issue,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of beer) incl returns from customers,Done,January 2092,2892066.0,2024-01-01
,EGB3,Unknown,34.20337459807074,Low,Pack,40026146,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Pending,December 2092,2864798.53,2024-01-01
,EGB4,Unknown,34.20337459807074,High,WIP,WCC,HL,Booked,White Concentrate ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Pending,June 2092,2700000.0,2024-01-01
,EGB3,Unknown,34.20337459807074,High,Raw,30008428,Kg,Booked,Fayrouz Coffee ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Pending,December 2092,968832.0,2024-01-01
,EGB1,Unknown,34.20337459807074,Medium,Pack,40030339,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,December 2092,925804.44,2024-01-01
,EGB3,Unknown,450.0,High,Raw,30007565,Kg,Booked, Fayrouz Flavour ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,May 2092,664866.0,2024-01-01
,EGB1,Unknown,34.20337459807074,High,Pack,40018132,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,December 2092,754815.6,2024-01-01
,EGB3,Unknown,960.0,High,Raw,30007565,KG,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Done,January 2092,636941.63,2024-01-01
,EGB1,Unknown,120.0,Medium,Pack,40030338,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,December 2092,584853.72,2024-01-01
,EGB3,Unknown,34.20337459807074,High,Pack,40026345,Pc,Booked,PET Label,Write_off_Sales ,Sales,Material no longer used,Pending,December 2092,555659.13,2024-01-01
